Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,SA_score,logP,Discovery_stage
TS0081,92,CCCCCCCCCCC(OC)(OC)OCCN,orthoester,*CCN,*C,*OC,*CCCCCCCCCC,6.356514930725098,0.5502638220787048,2.7495006126101487,3.4391000000000016,Targeted_search
TS0082,93,CCCCCCCCCCC(OCCNC(=O)OC)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)OC,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.355965614318848,0.8642187714576721,3.5008601478374146,4.962100000000004,Targeted_search
TS0083,94,CCCCCCCCCCC(OCN)(OCCCO)c1c(OC)cc(OC)cc1OC,ketal,*CCCO,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.355556488037109,0.9334651231765748,3.398979718818839,4.727800000000004,Targeted_search
TS0084,95,CCCCCCCCCCC(OC)(OC)OCCCN,orthoester,*CCCN,*C,*OC,*CCCCCCCCCC,6.355049133300781,0.625941276550293,2.7121935426441848,3.829200000000002,Targeted_search
TS0085,96,C=CC(=O)NCCOC(CCCCCCCCCC)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)C=C,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.3541340827941895,0.9246720671653748,3.5877405246035057,4.908300000000004,Targeted_search
TS0086,97,CCCCCCC(OCCOCCN)(OCC(C)(C)C)c1ccc(N(C)C)cc1,ketal,*CCOCCN,*CC(C)(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.351143836975098,0.6201876401901245,3.3716018385944304,4.930400000000004,Targeted_search
HTS000012,98,CCCCCCCCCCC(OCC)(OCCOCCN)OC(C)C,orthoester,C(COCCN)*,C(C)(C)*,CCO*,CCCCCCCCCC*,6.34905514,0.6664196533148391,3.313541779623474,4.624400000000003,HTS
TS0087,99,CCCCCC(OCC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)C,*CC,*c1ccc(N(C)C)cc1,*CCCCC,6.346798419952393,0.402514785528183,3.0838571973368847,4.947200000000005,Targeted_search
TS0088,100,C=CC(=O)NCCOC(CCCCCCCCCC)(OCN)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)C=C,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.345463275909424,0.9395257830619812,3.532715418403104,4.647600000000003,Targeted_search
TS0089,101,CCCCCCCCCCC(OC)(OCCN)OC(C)C,orthoester,*CCN,*C(C)C,*OC,*CCCCCCCCCC,6.343781471252441,0.4652629792690277,3.255724940688397,4.217700000000002,Targeted_search
TS0090,102,CCCCCCCCCCC(OC)(OCC)OC(=O)CC,orthoester,*C(=O)CC,*CC,*OC,*CCCCCCCCCC,6.343219757080078,0.5562461614608765,3.10687639957434,4.807100000000005,Targeted_search
TS0091,103,CCCCCCCCCCC(OCCO)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCO,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.338127136230469,0.8993167877197266,3.4549261379169813,4.598400000000003,Targeted_search
TS0092,104,CCCCCCCCCCC(OCN)(OCCO)c1c(OC)cc(OC)cc1OC,ketal,*CCO,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.3353657722473145,0.9207189083099364,3.3974804003608448,4.3377000000000026,Targeted_search
TS0093,105,CCCCCCC(OCC)(OCN)c1ccc(N(C)C)cc1,ketal,*CN,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.333967685699463,0.5083973407745361,3.2007119262145647,3.845100000000002,Targeted_search
HTS000013,106,CCCCCCCCCCC(OC)(OCC)OCCF,orthoester,FCC*,C(C)*,CO*,CCCCCCCCCC*,6.33385258,0.53100437803894,3.3003603498272787,4.840000000000004,HTS
TS0094,107,CCCCCCC(OCC)(ONCC)c1ccc(N(C)C)cc1,ketal,*NCC,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.333682060241699,0.5129083395004272,3.2634853919701143,4.453400000000004,Targeted_search
TS0095,108,CCCCCCC(OCCC)(OCNC)c1ccc(N(C)C)cc1,ketal,*CNC,*CCC,*c1ccc(N(C)C)cc1,*CCCCCC,6.332957744598389,0.5151628851890564,3.29739810223429,4.495900000000003,Targeted_search
HTS000014,109,CCCCCCCCCCC(OC)(OCCOCCN)OCC(C)(C)C,orthoester,C(COCCN)*,CC(C)(C)C*,CO*,CCCCCCCCCC*,6.331119080000001,0.7040633527464485,3.401134483459943,4.872000000000003,HTS
TS0096,110,CCOC(OC(C)C)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C(C)C,*CC,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.330740928649902,0.4146345555782318,3.226780103508576,4.947200000000005,Targeted_search
TS0097,111,CCCCCCCCCCC(OC)(OC)OC(=O)CC,orthoester,*C(=O)CC,*C,*OC,*CCCCCCCCCC,6.328012943267822,0.5377092957496643,2.654685026160669,4.417000000000003,Targeted_search
TS0098,112,CCCCCCCCCCC(OC)(OC)OCO,orthoester,*CO,*C,*OC,*CCCCCCCCCC,6.324872016906738,0.4480673372745514,2.839251733684224,3.4302000000000024,Targeted_search
TS0099,113,CCCCCCCCCCC(OCO)(OCCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCCN,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.322604179382324,0.950693428516388,3.4077171193493427,4.727800000000004,Targeted_search
TS0100,114,COC(OC(C)C)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C(C)C,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.314818382263184,0.417498230934143,3.178712430628183,4.557100000000005,Targeted_search
HTS000015,115,C=CC(=O)NCCOC(CCCCCCCCCC)(OCC)OCC,orthoester,C(CNC(=O)C=C)*,CC*,O(CC)*,CCCCCCCCCC*,6.312931660000001,0.7591874822103949,2.867531455956863,4.562800000000004,HTS
TS0101,116,COC(OC)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.30745792388916,0.3392141461372375,2.661825685501327,3.778500000000003,Targeted_search
TS0102,117,CCCCCCCCCCC(OCCC)(OCCCN)OC(=O)CC,orthoester,*CCCN,*C(=O)CC,*OCCC,*CCCCCCCCCC,6.305870532989502,0.6594702005386353,3.2745272741289684,4.916200000000004,Targeted_search
HTS000016,118,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCC)OCCC,orthoester,C=CC(=O)NCCOCC*,C(CC)*,CCO*,CCCCCCCCCC*,6.30497954,0.7899557200235935,3.367416585311129,4.9695000000000045,HTS
HTS000017,119,CCCCCCCCCCC(OC)(OC)OCCOC,orthoester,C(COC)*,C*,CO*,CCCCCCCCCC*,6.304754000000001,0.5535981948406226,2.63373282835847,4.126800000000003,HTS
